FeatureID,FeatureName,SUM159R1 Average,SUM159R1 Log2 Fold Change,SUM159R1 P-Value,SUM159R2 Average,SUM159R2 Log2 Fold Change,SUM159R2 P-Value
ENSG00000185808,PIGP,1.441184941176365,0.4736498225670266,0.5682911367394669,1.0371371026651832,-0.4736498225670266,0.5682911367394669
ENSG00000096092,TMEM14A,2.05883563025195,0.4628121349937807,0.5705188044088457,1.4926275331570626,-0.4628121349937807,0.5705188044088457
ENSG00000128463,EMC4,4.173380930498953,0.4647653161947334,0.5720341174238334,3.0211099981604246,-0.4647653161947334,0.5720341174238334
ENSG00000103254,ANTKMT,2.6885971171525465,0.4654798126674974,0.5737759391791755,1.9454620427714384,-0.4654798126674974,0.5737759391791755
ENSG00000120129,DUSP1,1.8141975141867184,0.4766736704807674,0.5746451503962079,1.3027291904155502,-0.4766736704807674,0.5746451503962079
ENSG00000244187,TMEM141,2.698285755412556,0.46183485508331856,0.5848403224841267,1.957413686720205,-0.46183485508331856,0.5848403224841924
ENSG00000198818,SFT2D1,2.5892885749874526,0.46231484298148207,0.5860357052894317,1.8777360603950948,-0.46231484298148207,0.5860357052894317
ENSG00000160256,FAM207A,3.308669965793134,0.4573448864897547,0.5908473573864783,2.407592275457077,-0.4573448864897547,0.590847357386528
ENSG00000241370,RPP21,2.3276953419672046,0.4602496209259589,0.592436365129207,1.690493638531086,-0.4602496209259589,0.5924363651291913
ENSG00000164096,C4orf3,2.674064159762533,0.45865180438140085,0.5945175336195954,1.9441340823326865,-0.45865180438140085,0.5945175336195954
ENSG00000164323,CFAP97,1.019729176865966,0.4676642153958951,0.5968392320479194,0.7370180435072685,-0.4676642153958951,0.5968392320479194
ENSG00000149761,NUDT22,2.2114316828470946,0.45719261934977673,0.6012992384006708,1.609488051767224,-0.45719261934977673,0.6012992384006336
ENSG00000124733,MEA1,3.374068274048196,0.45020989036115866,0.6055035909003427,2.4673504952009098,-0.45020989036115866,0.6055035909003427
ENSG00000182054,IDH2,1.7415327272366496,0.45197219072376116,0.6055559003553429,1.272186100324258,-0.45197219072376116,0.6055559003553429
ENSG00000196352,CD55,1.2401456972811746,0.4589301788815695,0.6066995996683875,0.901685137912496,-0.4589301788815695,0.6066995996683875
ENSG00000137309,HMGA1,33.19569683835644,0.4399808028494263,0.6066995996683875,24.44376779610503,-0.4399808028494263,0.6066995996683875
ENSG00000243927,MRPS6,3.863344506178659,0.44911332052136266,0.6082759658650678,2.827227774102657,-0.44911332052136266,0.6082759658650678
ENSG00000092036,HAUS4,1.828730471576732,0.4433300648321518,0.6164607381299069,1.343895964016857,-0.4433300648321518,0.6164607381299069
ENSG00000182552,RWDD4,1.9353054924368331,0.44058401120152935,0.6209365347364839,1.424901550780719,-0.44058401120152935,0.6209365347364839
ENSG00000166260,COX11,1.3200769629262503,0.44848823600513277,0.6226999939929959,0.9667551994113359,-0.44848823600513277,0.6226999939929959
ENSG00000148291,SURF2,2.429426043697301,0.4458060639355469,0.6234332709877716,1.7821229088049626,-0.4458060639355469,0.6234332709877716
ENSG00000128185,DGCR6L,2.0273475559069203,0.4329293191217485,0.632634808610966,1.5005952957895736,-0.4329293191217485,0.632634808610966
ENSG00000090060,PAPOLA,5.5637005208102694,0.4326862110222396,0.6336028955999593,4.1180053205694405,-0.4326862110222396,0.6336028955999593
ENSG00000166825,ANPEP,3.4588438588232764,0.44015730431265343,0.6356705499308165,2.5470281215260195,-0.44015730431265343,0.6356705499307888
ENSG00000166411,IDH3A,1.0415286129509864,0.447125157059003,0.6365295906838849,0.7635772522823052,-0.447125157059003,0.6365295906838849
ENSG00000187446,CHP1,1.2643672929311975,0.44702459028372227,0.6366242679704257,0.9269163862487809,-0.44702459028372227,0.6366242679704257
ENSG00000183048,SLC25A10,1.1577922720710967,0.4429584580260946,0.6368649827408595,0.8512226412399263,-0.4429584580260946,0.6368649827408595
ENSG00000170791,CHCHD7,3.047076732772886,0.43564821256803477,0.6412470910457297,2.2508929436843603,-0.43564821256803477,0.6412470910457568
ENSG00000183696,UPP1,3.6913711770634965,0.4337735482248941,0.6413577425833882,2.730286662073773,-0.4337735482248941,0.6413577425833882
ENSG00000224877,NDUFAF8,7.511116811072115,0.4265989853058012,0.6418909987743353,5.582745684512715,-0.4265989853058012,0.6418909987743353
ENSG00000109084,TMEM97,1.1141933999010554,0.4426660119371806,0.6421715860021393,0.8193515907098823,-0.4426660119371806,0.6421715860021393
ENSG00000146540,C7orf50,7.545027044982146,0.4248847724450844,0.6449604388998592,5.614616735042759,-0.4248847724450844,0.6449604388998592
ENSG00000131652,THOC6,1.472673015521395,0.4363244178131036,0.6459484969923314,1.087599599337753,-0.4363244178131036,0.6459484969923314
ENSG00000169718,DUS1L,1.0875496446860302,0.4384959584672975,0.6487596654261528,0.8020881050061084,-0.4384959584672975,0.6487596654261528
ENSG00000099622,CIRBP,6.9249541963415595,0.4236066477828966,0.6488345329213631,5.157798344112128,-0.4236066477828966,0.6488345329213631
ENSG00000164111,ANXA5,5.156777713889884,0.4267884222894358,0.6523202392606076,3.832493826237796,-0.4267884222894358,0.6523202392606076
ENSG00000104823,ECH1,1.2401456972811746,0.43577921463101277,0.6537336868358762,0.9162927027387662,-0.43577921463101277,0.6537336868358762
