sample_id,molecule_h5
SUM159DMSO,/mnt/w/game_cibog/sc/calls/SUM159DMSO/outs/molecule_info.h5
SUM159RDMSO,/mnt/w/game_cibog/sc/calls/SUM159RDMSO/outs/molecule_info.h5
